timestamp,count,event_type
27836041,4221168,sync_qpc_time
27836303,4221168,cpu_time
27919338,4221169,sync_qpc_time
27919558,4221169,cpu_time
28002701,4221170,sync_qpc_time
28002983,4221170,cpu_time
28086095,4221171,sync_qpc_time
28086328,4221171,cpu_time
28169390,4221172,sync_qpc_time
28169647,4221172,cpu_time
28252714,4221173,sync_qpc_time
28252925,4221173,cpu_time
28336142,4221174,sync_qpc_time
28336446,4221174,cpu_time
28419464,4221175,sync_qpc_time
28419696,4221175,cpu_time
28502812,4221176,sync_qpc_time
28503089,4221176,cpu_time
28586162,4221177,sync_qpc_time
28586434,4221177,cpu_time
28669504,4221178,sync_qpc_time
28669764,4221178,cpu_time
28752891,4221179,sync_qpc_time
28753242,4221179,cpu_time
28836153,4221180,sync_qpc_time
28836404,4221180,cpu_time
28919566,4221181,sync_qpc_time
28919864,4221181,cpu_time
29002849,4221182,sync_qpc_time
29003098,4221182,cpu_time
29086292,4221183,sync_qpc_time
29086556,4221183,cpu_time
29169540,4221184,sync_qpc_time
29169811,4221184,cpu_time
29252917,4221185,sync_qpc_time
29253194,4221185,cpu_time
29336302,4221186,sync_qpc_time
29336597,4221186,cpu_time
29419601,4221187,sync_qpc_time
29419871,4221187,cpu_time
29502978,4221188,sync_qpc_time
29503273,4221188,cpu_time
29586258,4221189,sync_qpc_time
29586485,4221189,cpu_time
29669618,4221190,sync_qpc_time
29669871,4221190,cpu_time
29752957,4221191,sync_qpc_time
29753179,4221191,cpu_time
29836321,4221192,sync_qpc_time
29836640,4221192,cpu_time
29919645,4221193,sync_qpc_time
29919979,4221193,cpu_time
30003018,4221194,sync_qpc_time
30003271,4221194,cpu_time
30086394,4221195,sync_qpc_time
30086671,4221195,cpu_time
30169719,4221196,sync_qpc_time
30169942,4221196,cpu_time
30253046,4221197,sync_qpc_time
30253298,4221197,cpu_time
30336372,4221198,sync_qpc_time
30336606,4221198,cpu_time
30419728,4221199,sync_qpc_time
30419984,4221199,cpu_time
30503101,4221200,sync_qpc_time
30503328,4221200,cpu_time
30586432,4221201,sync_qpc_time
30586683,4221201,cpu_time
30669786,4221202,sync_qpc_time
30670019,4221202,cpu_time
30753181,4221203,sync_qpc_time
30753665,4221203,cpu_time
30836542,4221204,sync_qpc_time
30836820,4221204,cpu_time
30919849,4221205,sync_qpc_time
30920092,4221205,cpu_time
31003163,4221206,sync_qpc_time
31003416,4221206,cpu_time
31086542,4221207,sync_qpc_time
31086796,4221207,cpu_time
